date,open,high,low,close,adjClose,vol,divAmount,splitFactor,ticker
1999-11-01,80,80.69,77.37,77.62,0.5889664814,2487300,0,1,AAPL
1999-11-02,78,81.69,77.31,80.25,0.6089224444,3564600,0,1,AAPL
1999-11-03,81.62,83.25,81,81.5,0.6184072176,2932700,0,1,AAPL
1999-11-04,82.06,85.37,80.62,83.62,0.6344933931,3384700,0,1,AAPL
1999-11-05,84.62,88.37,84,88.31,0.6700802624,3721500,0,1,AAPL
1999-11-08,87.75,97.73,86.75,96.37,0.7312380805,8490400,0,1,AAPL
1999-11-09,94.37,94.5,88,89.62,0.6800203048,7224800,0,1,AAPL
1999-11-10,88.25,93.25,88.12,91.44,0.6938301347,5159800,0,1,AAPL
1999-11-11,91.59,92.62,89.87,92.25,0.6999762678,2409600,0,1,AAPL
1999-11-12,91.94,92,87.37,90.62,0.6876081235,2491600,0,1,AAPL
1999-11-15,89.62,92.87,88.5,89.44,0.6786544975,2320600,0,1,AAPL
1999-11-16,90,91.75,88.5,91.19,0.6919331801,2088000,0,1,AAPL
1999-11-17,90.69,94.75,90,90.25,0.6848006306,3255100,0,1,AAPL
1999-11-18,91.06,91.12,88.44,89.62,0.6800203048,3257000,0,1,AAPL
1999-11-19,89.5,92.87,88.06,92.44,0.7014179534,2790300,0,1,AAPL
1999-11-22,91.75,91.75,89.25,90.62,0.6876081235,1806800,0,1,AAPL
1999-11-23,91.75,95.25,88.5,92.81,0.7042254462,4851000,0,1,AAPL
1999-11-24,93,95,91.69,94.69,0.7184905453,1920600,0,1,AAPL
1999-11-26,94.75,95.5,94.12,95.06,0.7212980381,1179200,0,1,AAPL
1999-11-29,94.25,99.75,93.25,94.56,0.7175041288,4144300,0,1,AAPL
1999-11-30,98.12,103.75,97.37,97.87,0.7426198085,7528400,0,1,AAPL
1999-12-01,101,104.5,100.06,103.06,0.7820005871,5522900,0,1,AAPL
1999-12-02,103.12,110.62,101.75,110.19,0.8361017339,5065700,0,1,AAPL
1999-12-03,112.19,115.56,111.87,115,0.8725991415,5785000,0,1,AAPL
1999-12-06,114.56,117.31,111.44,116,0.8801869601,4167700,0,1,AAPL
1999-12-07,116.56,118,114,117.81,0.8939209118,3973400,0,1,AAPL
1999-12-08,116.25,117.87,109.5,110.06,0.8351153175,3681700,0,1,AAPL
1999-12-09,111,111,100.87,105.25,0.7986179099,7635700,0,1,AAPL
1999-12-10,105.31,109.25,99,103,0.781545318,5694300,0,1,AAPL
1999-12-13,102.39,102.5,98.94,99,0.7511940435,4731800,0,1,AAPL
1999-12-14,98.37,99.75,94.75,94.87,0.7198563526,3891700,0,1,AAPL
1999-12-15,93.25,97.25,91.06,97,0.7360184063,5562300,0,1,AAPL
1999-12-16,98,98.37,94,98.31,0.7459584487,4141300,0,1,AAPL
1999-12-17,100.87,102,98.5,100,0.7587818621,4419700,0,1,AAPL
1999-12-20,99.56,99.62,96.62,98,0.7436062249,2535600,0,1,AAPL
1999-12-21,98.19,103.06,97.94,102.5,0.7777514087,2746400,0,1,AAPL
1999-12-22,102.87,104.56,98.75,99.94,0.758326593,2920300,0,1,AAPL
1999-12-23,101.81,104.25,101.06,103.5,0.7853392273,2049400,0,1,AAPL
1999-12-27,104.37,104.44,99.25,99.31,0.7535462673,1503500,0,1,AAPL
1999-12-28,99.12,99.62,95,98.19,0.7450479104,2210500,0,1,AAPL
1999-12-29,96.81,102.19,95.5,100.69,0.764017457,2540200,0,1,AAPL
1999-12-30,102.19,104.12,99.62,100.31,0.7611340859,1849500,0,1,AAPL
1999-12-31,100.94,102.87,99.5,102.81,0.7801036325,1462600,0,1,AAPL
2000-01-03,104.87,112.5,101.69,111.94,0.8493804165,4783900,0,1,AAPL
2000-01-04,108.25,110.62,101.19,102.5,0.7777514087,4574800,0,1,AAPL
2000-01-05,103.75,110.56,103,104,0.7891331366,6949300,0,1,AAPL
2000-01-06,106.12,107,95,95,0.720842769,6856900,0,1,AAPL
2000-01-07,96.5,101,95.5,99.5,0.7549879528,4113700,0,1,AAPL
2000-01-10,102,102.25,94.75,97.75,0.7417092702,4509500,0,1,AAPL
2000-01-11,95.94,99.37,90.5,92.75,0.7037701771,3942400,0,1,AAPL
2000-01-12,95,95.5,86.5,87.19,0.6615819056,8714900,0,1,AAPL
2000-01-13,94.48,98.75,92.5,96.75,0.7341214516,9220400,0,1,AAPL
